Created-Date,Tweet,Sentiment
7/17/2021 12:41,گستاخي معاف. ,
7/17/2021 6:13,ضرور ٿي آھي. ڊاڪٽر وسنت شنڊَي جن ڪئي آھي ڪوشش، پر ان  تَھن اندر مليل انساني ھڏن مونجهارو پيدا ڪيو. بعد … ,
7/17/2021 6:06,سنڌو سڀيتا ڇا آھي، ھي سنڌي ڪير آھن، ڇا ھي جيڪي ھن مھل سنڌ  سنڌي رھن ٿا اھي واقعي بہ موھن جي دڙي جي باقيات آھن يا ڪ… ,
7/17/2021 5:19,ڀارت  لڳ ڀڳ 1300 اھڙا دڙا مليا آھن جيڪي ”سنڌو ماٿريءَ جي تھذيب“ سان لاڳاپيل آھن جن جي اندر الائي ڪيتريون نشانيون پ… ,
7/17/2021 5:14,سانئڻ، ھڪڙا عمل ارادي  ٻيا غير ارادي ٿين. اھي سبب غير ارادي ئي ٿين پر لاپرواھي، انهين باريڪ شين جو خيا… ,
7/17/2021 5:12,ائين ٿي بہ سگهي ٿو، ائين نہ بہ ٿي سگهي ٿو منھنجا تاريخ کان اوائل  ڇا ڇا ٿيو ھون… ,
7/17/2021 5:07,محترم سائين، اوھان کي جنم ڏھاڙي جون لک لک واڌايون ھجن. شال سکيا ستابا  جهجهين آسانين سان ھجو. آمين ,
7/17/2021 5:04,سائين منھنجي خيال  اھا فلم فرينچ  ناھي. اصل انگريزيءَ  ئي آھي، ھا باقي جنھن ناول تان کنيل آھي اھو جرم… ,
7/17/2021 5:00,پاڻ اھو طئي نہ ٿا ڪري سگهون تہ ڪھڙو اچار آھي.. شم يا سم. اصل  اھو چوڻ واري جي بيھڪ، لھجي  ڪلاس تي آھ… ,
7/17/2021 4:58,پيارا اھو گم شم  گم سم، ٻيئي ڪم ايندا آھن. ناشپاتي يا ناسپاتي. ,
7/17/2021 4:53,بابا فارسيءَ  عربيءَ .  صرف آيتون ,
7/16/2021 20:00,ظاھر آھي دور ساڳي جون آھن. گنبدن مينارن، قبرن سان گڏ جڳھين جون شڪليون دورن سان گڏ ھڪجھڙيون ھونديون آھن. ,
7/16/2021 19:59,سھڻا ھي بلوچ قبرستان آھي جيڪو ڳوٺ رمضان جوڳي جي آھي. ضلع ساڳيو ئي ملير آھي. پر ھي چوڪنڊي قبرستان ناھي. ,
7/16/2021 19:58,نہ بابا.. ھي ٻيو آھي. ,
7/16/2021 19:48,بلوچ قبرستان لڳ رمضان  جوڳي ڳوٺ، ملير. ,
7/16/2021 19:09,بابا بابا.. نہ ڪريو... مان ھڪ سادو انسان آھيان. اھا اوھان جي ئي عزت آھي جيڪا ڏيو ٿا. شل رب اوھان کي… ,
7/16/2021 18:15,ملھ جي قومي راند آھي، ١٥١٣ کان هتي کيڏي ويندي آھي. ملھ جي باري  لکيل آھي. « Schwingen Switzerl… ,
7/16/2021 15:10,اھو ھڪ جدا بحث آھي بابا.... ,
7/16/2021 15:07,جينيٽڪس جي ابي چيو ھئو تہ مستقبل جو سائنسي انقلاب ھن جينيٽڪس مان ئي ڦٽندو. ,
7/16/2021 14:40,ڪٿي ڳالھايو ويو آھي منھنجا ادا؟ ,
7/16/2021 14:39,خدا مٽي ٺاھي آھي، جنھن مان سِرون وري پاڻ ٺاھيندا آھيون. ,
7/16/2021 14:32,ڀوت... منھنجو آڱوٺو.. ھنھھھ ,
7/16/2021 14:29,جيڪڏھن امير  غريب جو خدا ساڳيو رزاق آھي تہ پوءِ اھو تقسيم ڪندڙ ڪير آھي، جيڪو گهپلا ڪري ٿو؟ ,
7/16/2021 11:47,سر سھڻيءَ جي ھيءَ وائي ڀٽائي پنھنجي آخري ڄمار  پيا جهونگاريندا ھئا. ,
7/16/2021 6:48,پاڻ جيڪي ھتي سنڌ  ويٺا آھيون اھي تہ اڃا پنھنجي سڃاڻپ جي ڀنور  ڦاٿل آھيون. سچ تہ اھو آھي ته پاڻ اڃا ان مطلق منطق ت… ,
7/16/2021 6:48,پاريش راول جن ”سنڌين“ جي ڳالهہ ڪري ٿو، اھي پاڻ ناھيون منھنجا ,
7/15/2021 16:18,اھي پھاڪا، جن  راڄن يا ماڳن تي ٽوڪ ھجي اھي ھٿ ٺوڪيا  ”قب… ,
7/15/2021 16:15,بابا بابا.. مان خادم. سدا سکيا رھو. آمين ,
7/15/2021 16:02,ٺيٺ سنڌي ,
7/15/2021 15:53,سائين حيدرآباد . ,
7/15/2021 15:29,جيترو ڳڙ اوترو ڀت مٺو سائين. ,
7/15/2021 15:27,سائين ان جي معنا آھي زالاڻو جهيڙو.. گهر اندر ڪِر ڪِر.. ماين جو پاڻ  ھل ھنگامو.. عامي يعني ھروڀرو جهيڙو وغيرہ. ,
7/15/2021 15:16,ہماری خوبصورت امیدیں آپ کے ساتھ وابستہ ہیں۔ ڈھیروں دعائیں۔ بہتر غذا کا استعمال کیجیئیے۔ اور اہم با… ,
7/15/2021 15:08,پيارا سائين... اينڊرائيڊ ڊوائيس لاءِ؟ ,
7/15/2021 14:57,ڪوٺَڻُ قَرِيبَنِ جو، عَينُ تَڙَڻُ آھِ، ,
7/15/2021 13:51,قرب... سڻين پيو ميان حليم سھڻا سائين؟؟ ,
7/15/2021 13:49,خيرن سان اڄ اسان جي ڊپارٽمينٽ جو اڪائونٽ بہ ويريفاءِ ٿي ويو. ,
